variable,componente_modelo,proveedor,identificador,archivo_raw,frecuencia,unidad,primera_fecha,ultima_fecha,observaciones_muestra,meses_muestra,meses_faltantes_muestra,cubre_muestra_completa,transformacion_historica,rezago_pronostico_meses,estado,motivo,fuente_url
balance_fiscal_miles_millones_cop,,MinHacienda,GNC mensual,balance_fiscal_gnc_mensual_trimestral.xlsx,Mensual,Miles de millones de COP,2004-01-01,2026-04-01,244,244,0,True,Suma móvil de 12 meses y déficit como porcentaje del PIB,3,activa,Fuente fiscal oficial; puede revisarse.,https://www.minhacienda.gov.co/documents/d/portal/balance-fiscal-gnc-mensual-y-trimestral?download=true
desocupados_dane_miles,,DANE,GEIH; Total nacional,geih_dane_jun2026.xlsx,Mensual,Miles de personas,2001-01-01,2026-06-01,239,244,5,False,Primera diferencia; se conserva la serie oficial y se evita empalmar o imputar la ruptura metodológica,2,candidata_no_activa,La serie original no tiene observaciones durante varios meses de 2020 y además requiere cautela por el cambio metodológico.,https://www.dane.gov.co/index.php/estadisticas-por-tema/mercado-laboral/empleo-y-desempleo/mercado-laboral-historicos
desocupados_dane_sa_miles,,DANE,GEIH; Total nacional,geih_dane_desestacionalizado_jun2026.xlsx,Mensual,Miles de personas,2001-01-01,2026-06-01,242,244,2,False,Primera diferencia; se conserva la serie oficial y se evita empalmar o imputar la ruptura metodológica,2,candidata_no_activa,La serie desestacionalizada tiene dos meses faltantes dentro de la muestra.,https://www.dane.gov.co/index.php/estadisticas-por-tema/mercado-laboral/empleo-y-desempleo/mercado-laboral-historicos
fuera_fuerza_trabajo_dane_miles,,DANE,GEIH; Total nacional,geih_dane_jun2026.xlsx,Mensual,Miles de personas,2001-01-01,2026-06-01,239,244,5,False,Primera diferencia; se conserva la serie oficial y se evita empalmar o imputar la ruptura metodológica,2,candidata_no_activa,La serie original no tiene observaciones durante varios meses de 2020 y además requiere cautela por el cambio metodológico.,https://www.dane.gov.co/index.php/estadisticas-por-tema/mercado-laboral/empleo-y-desempleo/mercado-laboral-historicos
fuera_fuerza_trabajo_dane_sa_miles,,DANE,GEIH; Total nacional,geih_dane_desestacionalizado_jun2026.xlsx,Mensual,Miles de personas,2001-01-01,2026-06-01,242,244,2,False,Primera diferencia; se conserva la serie oficial y se evita empalmar o imputar la ruptura metodológica,2,candidata_no_activa,La serie desestacionalizada tiene dos meses faltantes dentro de la muestra.,https://www.dane.gov.co/index.php/estadisticas-por-tema/mercado-laboral/empleo-y-desempleo/mercado-laboral-historicos
ipi_total_dane,,DANE,IPI; hoja 3; T_IPI,ipi_dane_jun2026.xlsx,Mensual,Índice 2018=100,2014-01-01,2026-06-01,148,244,96,False,ln(x) y primera diferencia; no se extiende antes de la primera observación,2,candidata_no_activa,La serie comienza en 2014-01 y no cubre la muestra 2006-01--2026-04.,https://www.dane.gov.co/index.php/estadisticas-por-tema/industria/indice-de-produccion-industrial-ipi
ipp_produccion_nacional_dane,,DANE,IPP; hoja 1.1; Producción Nacional; TOTAL,ipp_dane_jul2026.xlsx,Mensual,Índice diciembre 2014=100,2014-12-01,2026-07-01,133,244,111,False,ln(x) y primera diferencia; no se empalma artificialmente con una base anterior,2,candidata_no_activa,La serie disponible comienza en 2014-12 y no cubre la muestra 2006-01--2026-04.,https://www.dane.gov.co/index.php/estadisticas-por-tema/precios-y-costos/indice-de-precios-del-productor-ipp
ise_actividades_primarias_dane,,DANE,ISE; Cuadro 2; 12 agrupaciones; fila conceptual,ise_dane_12actividades_jun2026.xlsx,Mensual,Índice 2015=100,2005-01-01,2026-06-01,244,244,0,True,ln(x) y primera diferencia; el total se activa para evitar 15 términos sectoriales colineales,2,candidata_no_activa,"Cobertura completa, pero se conserva como desagregación auditada y no se añaden términos sectoriales simultáneos.",https://www.dane.gov.co/index.php/en/statistics-by-topic/national-accounts/economic-monitor-index-ise
ise_actividades_secundarias_dane,,DANE,ISE; Cuadro 2; 12 agrupaciones; fila conceptual,ise_dane_12actividades_jun2026.xlsx,Mensual,Índice 2015=100,2005-01-01,2026-06-01,244,244,0,True,ln(x) y primera diferencia; el total se activa para evitar 15 términos sectoriales colineales,2,candidata_no_activa,"Cobertura completa, pero se conserva como desagregación auditada y no se añaden términos sectoriales simultáneos.",https://www.dane.gov.co/index.php/en/statistics-by-topic/national-accounts/economic-monitor-index-ise
ise_actividades_terciarias_dane,,DANE,ISE; Cuadro 2; 12 agrupaciones; fila conceptual,ise_dane_12actividades_jun2026.xlsx,Mensual,Índice 2015=100,2005-01-01,2026-06-01,244,244,0,True,ln(x) y primera diferencia; el total se activa para evitar 15 términos sectoriales colineales,2,candidata_no_activa,"Cobertura completa, pero se conserva como desagregación auditada y no se añaden términos sectoriales simultáneos.",https://www.dane.gov.co/index.php/en/statistics-by-topic/national-accounts/economic-monitor-index-ise
ise_administracion_educacion_salud_dane,,DANE,ISE; Cuadro 2; 12 agrupaciones; fila conceptual,ise_dane_12actividades_jun2026.xlsx,Mensual,Índice 2015=100,2005-01-01,2026-06-01,244,244,0,True,ln(x) y primera diferencia; el total se activa para evitar 15 términos sectoriales colineales,2,candidata_no_activa,"Cobertura completa, pero se conserva como desagregación auditada y no se añaden términos sectoriales simultáneos.",https://www.dane.gov.co/index.php/en/statistics-by-topic/national-accounts/economic-monitor-index-ise
ise_agricultura_dane,,DANE,ISE; Cuadro 2; 12 agrupaciones; fila conceptual,ise_dane_12actividades_jun2026.xlsx,Mensual,Índice 2015=100,2005-01-01,2026-06-01,244,244,0,True,ln(x) y primera diferencia; el total se activa para evitar 15 términos sectoriales colineales,2,candidata_no_activa,"Cobertura completa, pero se conserva como desagregación auditada y no se añaden términos sectoriales simultáneos.",https://www.dane.gov.co/index.php/en/statistics-by-topic/national-accounts/economic-monitor-index-ise
ise_arte_hogares_dane,,DANE,ISE; Cuadro 2; 12 agrupaciones; fila conceptual,ise_dane_12actividades_jun2026.xlsx,Mensual,Índice 2015=100,2005-01-01,2026-06-01,244,244,0,True,ln(x) y primera diferencia; el total se activa para evitar 15 términos sectoriales colineales,2,candidata_no_activa,"Cobertura completa, pero se conserva como desagregación auditada y no se añaden términos sectoriales simultáneos.",https://www.dane.gov.co/index.php/en/statistics-by-topic/national-accounts/economic-monitor-index-ise
ise_comercio_transporte_alojamiento_dane,,DANE,ISE; Cuadro 2; 12 agrupaciones; fila conceptual,ise_dane_12actividades_jun2026.xlsx,Mensual,Índice 2015=100,2005-01-01,2026-06-01,244,244,0,True,ln(x) y primera diferencia; el total se activa para evitar 15 términos sectoriales colineales,2,candidata_no_activa,"Cobertura completa, pero se conserva como desagregación auditada y no se añaden términos sectoriales simultáneos.",https://www.dane.gov.co/index.php/en/statistics-by-topic/national-accounts/economic-monitor-index-ise
ise_construccion_dane,,DANE,ISE; Cuadro 2; 12 agrupaciones; fila conceptual,ise_dane_12actividades_jun2026.xlsx,Mensual,Índice 2015=100,2005-01-01,2026-06-01,244,244,0,True,ln(x) y primera diferencia; el total se activa para evitar 15 términos sectoriales colineales,2,candidata_no_activa,"Cobertura completa, pero se conserva como desagregación auditada y no se añaden términos sectoriales simultáneos.",https://www.dane.gov.co/index.php/en/statistics-by-topic/national-accounts/economic-monitor-index-ise
ise_electricidad_agua_dane,,DANE,ISE; Cuadro 2; 12 agrupaciones; fila conceptual,ise_dane_12actividades_jun2026.xlsx,Mensual,Índice 2015=100,2005-01-01,2026-06-01,244,244,0,True,ln(x) y primera diferencia; el total se activa para evitar 15 términos sectoriales colineales,2,candidata_no_activa,"Cobertura completa, pero se conserva como desagregación auditada y no se añaden términos sectoriales simultáneos.",https://www.dane.gov.co/index.php/en/statistics-by-topic/national-accounts/economic-monitor-index-ise
ise_finanzas_dane,,DANE,ISE; Cuadro 2; 12 agrupaciones; fila conceptual,ise_dane_12actividades_jun2026.xlsx,Mensual,Índice 2015=100,2005-01-01,2026-06-01,244,244,0,True,ln(x) y primera diferencia; el total se activa para evitar 15 términos sectoriales colineales,2,candidata_no_activa,"Cobertura completa, pero se conserva como desagregación auditada y no se añaden términos sectoriales simultáneos.",https://www.dane.gov.co/index.php/en/statistics-by-topic/national-accounts/economic-monitor-index-ise
ise_informacion_comunicaciones_dane,,DANE,ISE; Cuadro 2; 12 agrupaciones; fila conceptual,ise_dane_12actividades_jun2026.xlsx,Mensual,Índice 2015=100,2005-01-01,2026-06-01,244,244,0,True,ln(x) y primera diferencia; el total se activa para evitar 15 términos sectoriales colineales,2,candidata_no_activa,"Cobertura completa, pero se conserva como desagregación auditada y no se añaden términos sectoriales simultáneos.",https://www.dane.gov.co/index.php/en/statistics-by-topic/national-accounts/economic-monitor-index-ise
ise_inmobiliarias_dane,,DANE,ISE; Cuadro 2; 12 agrupaciones; fila conceptual,ise_dane_12actividades_jun2026.xlsx,Mensual,Índice 2015=100,2005-01-01,2026-06-01,244,244,0,True,ln(x) y primera diferencia; el total se activa para evitar 15 términos sectoriales colineales,2,candidata_no_activa,"Cobertura completa, pero se conserva como desagregación auditada y no se añaden términos sectoriales simultáneos.",https://www.dane.gov.co/index.php/en/statistics-by-topic/national-accounts/economic-monitor-index-ise
ise_manufactura_dane,,DANE,ISE; Cuadro 2; 12 agrupaciones; fila conceptual,ise_dane_12actividades_jun2026.xlsx,Mensual,Índice 2015=100,2005-01-01,2026-06-01,244,244,0,True,ln(x) y primera diferencia; el total se activa para evitar 15 términos sectoriales colineales,2,candidata_no_activa,"Cobertura completa, pero se conserva como desagregación auditada y no se añaden términos sectoriales simultáneos.",https://www.dane.gov.co/index.php/en/statistics-by-topic/national-accounts/economic-monitor-index-ise
ise_mineria_dane,,DANE,ISE; Cuadro 2; 12 agrupaciones; fila conceptual,ise_dane_12actividades_jun2026.xlsx,Mensual,Índice 2015=100,2005-01-01,2026-06-01,244,244,0,True,ln(x) y primera diferencia; el total se activa para evitar 15 términos sectoriales colineales,2,candidata_no_activa,"Cobertura completa, pero se conserva como desagregación auditada y no se añaden términos sectoriales simultáneos.",https://www.dane.gov.co/index.php/en/statistics-by-topic/national-accounts/economic-monitor-index-ise
ise_profesionales_administrativos_dane,,DANE,ISE; Cuadro 2; 12 agrupaciones; fila conceptual,ise_dane_12actividades_jun2026.xlsx,Mensual,Índice 2015=100,2005-01-01,2026-06-01,244,244,0,True,ln(x) y primera diferencia; el total se activa para evitar 15 términos sectoriales colineales,2,candidata_no_activa,"Cobertura completa, pero se conserva como desagregación auditada y no se añaden términos sectoriales simultáneos.",https://www.dane.gov.co/index.php/en/statistics-by-topic/national-accounts/economic-monitor-index-ise
ocupados_dane_miles,,DANE,GEIH; Total nacional,geih_dane_jun2026.xlsx,Mensual,Miles de personas,2001-01-01,2026-06-01,239,244,5,False,Primera diferencia; se conserva la serie oficial y se evita empalmar o imputar la ruptura metodológica,2,candidata_no_activa,La serie original no tiene observaciones durante varios meses de 2020 y además requiere cautela por el cambio metodológico.,https://www.dane.gov.co/index.php/estadisticas-por-tema/mercado-laboral/empleo-y-desempleo/mercado-laboral-historicos
ocupados_dane_sa_miles,,DANE,GEIH; Total nacional,geih_dane_desestacionalizado_jun2026.xlsx,Mensual,Miles de personas,2001-01-01,2026-06-01,242,244,2,False,Primera diferencia; se conserva la serie oficial y se evita empalmar o imputar la ruptura metodológica,2,candidata_no_activa,La serie desestacionalizada tiene dos meses faltantes dentro de la muestra.,https://www.dane.gov.co/index.php/estadisticas-por-tema/mercado-laboral/empleo-y-desempleo/mercado-laboral-historicos
tasa_desocupacion_dane_pct,,DANE,GEIH; Total nacional,geih_dane_jun2026.xlsx,Mensual,Porcentaje,2001-01-01,2026-06-01,239,244,5,False,Primera diferencia; se conserva la serie oficial y se evita empalmar o imputar la ruptura metodológica,2,candidata_no_activa,La serie original no tiene observaciones durante varios meses de 2020 y además requiere cautela por el cambio metodológico.,https://www.dane.gov.co/index.php/estadisticas-por-tema/mercado-laboral/empleo-y-desempleo/mercado-laboral-historicos
tasa_desocupacion_dane_sa_pct,,DANE,GEIH; Total nacional,geih_dane_desestacionalizado_jun2026.xlsx,Mensual,Porcentaje,2001-01-01,2026-06-01,242,244,2,False,Primera diferencia; se conserva la serie oficial y se evita empalmar o imputar la ruptura metodológica,2,candidata_no_activa,La serie desestacionalizada tiene dos meses faltantes dentro de la muestra.,https://www.dane.gov.co/index.php/estadisticas-por-tema/mercado-laboral/empleo-y-desempleo/mercado-laboral-historicos
tasa_ocupacion_dane_pct,,DANE,GEIH; Total nacional,geih_dane_jun2026.xlsx,Mensual,Porcentaje,2001-01-01,2026-06-01,239,244,5,False,Primera diferencia; se conserva la serie oficial y se evita empalmar o imputar la ruptura metodológica,2,candidata_no_activa,La serie original no tiene observaciones durante varios meses de 2020 y además requiere cautela por el cambio metodológico.,https://www.dane.gov.co/index.php/estadisticas-por-tema/mercado-laboral/empleo-y-desempleo/mercado-laboral-historicos
tasa_ocupacion_dane_sa_pct,,DANE,GEIH; Total nacional,geih_dane_desestacionalizado_jun2026.xlsx,Mensual,Porcentaje,2001-01-01,2026-06-01,242,244,2,False,Primera diferencia; se conserva la serie oficial y se evita empalmar o imputar la ruptura metodológica,2,candidata_no_activa,La serie desestacionalizada tiene dos meses faltantes dentro de la muestra.,https://www.dane.gov.co/index.php/estadisticas-por-tema/mercado-laboral/empleo-y-desempleo/mercado-laboral-historicos
tasa_participacion_dane_pct,,DANE,GEIH; Total nacional,geih_dane_jun2026.xlsx,Mensual,Porcentaje,2001-01-01,2026-06-01,239,244,5,False,Primera diferencia; se conserva la serie oficial y se evita empalmar o imputar la ruptura metodológica,2,candidata_no_activa,La serie original no tiene observaciones durante varios meses de 2020 y además requiere cautela por el cambio metodológico.,https://www.dane.gov.co/index.php/estadisticas-por-tema/mercado-laboral/empleo-y-desempleo/mercado-laboral-historicos
tasa_participacion_dane_sa_pct,,DANE,GEIH; Total nacional,geih_dane_desestacionalizado_jun2026.xlsx,Mensual,Porcentaje,2001-01-01,2026-06-01,242,244,2,False,Primera diferencia; se conserva la serie oficial y se evita empalmar o imputar la ruptura metodológica,2,candidata_no_activa,La serie desestacionalizada tiene dos meses faltantes dentro de la muestra.,https://www.dane.gov.co/index.php/estadisticas-por-tema/mercado-laboral/empleo-y-desempleo/mercado-laboral-historicos
agregados_monetarios_colombia,,BanRep,M1/M2/M3/base monetaria; identificador no activado,,Mensual,Saldos monetarios,,,0,244,244,False,Δln(x) o crecimiento interanual,,no_disponible,"No se activa hasta verificar serie, unidad, revisiones y cobertura en el catálogo BanRep.",https://www.banrep.gov.co/es/estadisticas-economicas/series-historicas/agregados-monetarios-crediticios
cartera_crediticia_colombia,,BanRep,Cartera bruta/financiera; identificador no activado,,Mensual,Saldo,,,0,244,244,False,Δln(x) o crecimiento interanual,,no_disponible,Candidata documental; no se inventa un identificador por proximidad del catálogo.,https://www.banrep.gov.co/es/estadisticas-economicas/series-historicas/agregados-monetarios-crediticios
intervencion_cambiaria_colombia,,BanRep,Intervenciones oficiales; identificador no verificado,,Eventual,USD,,,0,244,244,False,Dummy/evento solo con serie oficial validada,,no_disponible,"No se activa: no hay catálogo, unidad y cobertura verificadas.",https://suameca.banrep.gov.co/estadisticas-economicas/catalogo
mercados_financieros_colombia,,BanRep,COLCAP/IDXTES/IPVU/UVR; identificador no activado,,Diaria/mensual,Índice o precio,,,0,244,244,False,Δln(x) o primera diferencia,,no_disponible,Candidata documental; se evita activar proxies no verificados.,https://suameca.banrep.gov.co/estadisticas-economicas/catalogo
sector_externo_trimestral_colombia,,BanRep,Balanza de pagos/cuenta corriente/IED,,Trimestral,USD,,,0,244,244,False,No convertir a mensual; crecimiento o asinh en frecuencia original,,no_disponible,No entra al modelo mensual porque desagregar o interpolar sería artificial.,https://www.banrep.gov.co/es/estadisticas-economicas/series-historicas
tasas_domesticas_ibr_dtf_cdt,,BanRep,IBR/DTF/CDT; identificador no activado,,Diaria/mensual,Tasa,,,0,244,244,False,Nivel y primera diferencia,,no_disponible,Candidata documental; falta una definición verificable y una descarga reproducible.,https://www.banrep.gov.co/es/estadisticas-economicas/series-historicas/agregados-monetarios-crediticios
